id,label
1,9
2,7
3,9
4,0
5,1
6,7
7,7
8,7
9,0
10,3
11,9
12,0
13,7
14,0
15,0
16,7
17,8
18,9
19,1
20,0
21,7
22,8
23,7
24,5
25,8
26,9
27,7
28,0
29,1
30,8
31,3
32,7
33,1
34,0
35,9
36,0
37,1
38,4
39,4
40,9
41,9
42,8
43,0
44,7
45,9
46,8
47,5
48,9
49,7
50,8
51,1
52,7
53,0
54,7
55,0
56,2
57,9
58,9
59,8
60,1
61,9
62,7
63,3
64,6
65,8
66,6
67,6
68,7
69,1
70,5
71,9
72,1
73,0
74,8
75,7
76,9
77,8
78,0
79,0
80,3
81,7
82,3
83,0
84,0
85,1
86,1
87,4
88,4
89,9
90,0
91,7
92,0
93,7
94,7
95,5
96,8
97,0
98,7
99,9
100,0
101,0
102,9
103,6
104,8
105,9
106,3
107,5
108,0
109,3
110,7
111,8
112,4
113,0
114,9
115,4
116,9
117,7
118,1
119,0
120,9
121,9
122,2
123,7
124,4
125,4
126,8
127,1
128,7
129,0
130,4
131,1
132,3
133,9
134,7
135,8
136,8
137,0
138,0
139,3
140,0
141,7
142,5
143,1
144,9
145,5
146,0
147,9
148,7
149,3
150,4
151,2
152,9
153,7
154,0
155,1
156,2
157,7
158,0
159,4
160,2
161,1
162,0
163,0
164,8
165,0
166,7
167,7
168,4
169,9
170,1
171,9
172,0
173,1
174,7
175,0
176,7
177,3
178,9
179,4
180,8
181,7
182,9
183,1
184,1
185,7
186,9
187,8
188,0
189,9
190,9
191,4
192,7
193,0
194,7
195,7
196,5
197,0
198,7
199,9
200,1
201,9
202,0
203,7
204,7
205,7
206,7
207,5
208,0
209,7
210,8
211,9
212,4
213,0
214,9
215,0
216,9
217,4
218,1
219,0
220,9
221,9
222,4
223,0
224,7
225,8
226,9
227,6
228,9
229,1
230,3
231,7
232,8
233,9
234,0
235,1
236,1
237,0
238,7
239,4
240,0
241,0
242,1
243,9
244,8
245,8
246,9
247,0
248,1
249,9
250,8
251,0
252,6
253,0
254,9
255,9
256,6
257,7
258,0
259,7
260,7
261,7
262,0
263,9
264,0
265,3
266,3
267,2
268,7
269,1
270,1
271,9
272,7
273,7
274,6
275,0
276,9
277,2
278,1
279,3
280,7
281,0
282,5
283,9
284,7
285,9
286,9
287,9
288,8
289,9
290,7
291,0
292,3
293,6
294,4
295,0
296,0
297,9
298,9
299,7
300,7
301,7
302,4
303,1
304,8
305,0
306,8
307,0
308,9
309,7
310,8
311,0
312,7
313,3
314,7
315,1
316,9
317,8
318,7
319,9
320,4
321,1
322,8
323,0
324,7
325,7
326,9
327,7
328,6
329,9
330,0
331,0
332,8
333,0
334,7
335,7
336,0
337,0
338,0
339,9
340,0
341,0
342,9
343,2
344,7
345,6
346,3
347,1
348,9
349,1
350,7
351,5
352,0
353,4
354,2
355,1
356,9
357,5
358,6
359,1
360,1
361,8
362,9
363,7
364,7
365,9
366,7
367,7
368,7
369,5
370,9
371,3
372,9
373,7
374,9
375,2
376,0
377,3
378,2
379,9
380,3
381,0
382,9
383,7
384,7
385,5
386,3
387,2
388,8
389,9
390,7
391,0
392,8
393,9
394,7
395,0
396,1
397,4
398,5
399,3
400,9
401,9
402,8
403,8
404,5
405,7
406,0
407,0
408,8
409,9
410,8
411,0
412,9
413,7
414,0
415,1
416,0
417,7
418,4
419,8
420,0
421,9
422,0
423,0
424,1
425,0
426,5
427,9
428,4
429,3
430,3
431,0
432,5
433,9
434,1
435,3
436,9
437,9
438,7
439,7
440,9
441,9
442,7
443,9
444,7
445,1
446,0
447,7
448,6
449,8
450,5
451,5
452,0
453,0
454,8
455,7
456,0
457,1
458,8
459,9
460,3
461,8
462,0
463,0
464,1
465,0
466,7
467,4
468,4
469,6
470,7
471,0
472,1
473,7
474,4
475,0
476,5
477,9
478,3
479,7
480,9
481,7
482,7
483,9
484,9
485,0
486,5
487,8
488,7
489,7
490,7
491,0
492,2
493,7
494,9
495,9
496,7
497,5
498,5
499,5
500,7
501,9
502,3
503,9
504,3
505,7
506,1
507,0
508,8
509,7
510,7
511,9
512,6
513,9
514,1
515,0
516,3
517,9
518,1
519,4
520,0
521,9
522,1
523,9
524,9
525,3
526,6
527,1
528,0
